player_1,player_2,surface,tourney_date,in_rate,win_1st,win_2nd,bp_save,opp_in_rate,opp_win_1st,opp_win_2nd,opp_bp_save,outcome
Andrej Martin,Daniel Elahi Galan,Hard,20210104,0.5625,0.6666666666666666,0.42857142857142855,0.5714285714285714,0.609375,0.7692307692307693,0.52,0.8333333333333334,0
Thomaz Bellucci,Thiago Monteiro,Hard,20210104,0.6086956521739131,0.5952380952380952,0.4444444444444444,0.3333333333333333,0.5671641791044776,0.7368421052631579,0.5517241379310345,0.8888888888888888,0
Hubert Hurkacz,Sebastian Korda,Hard,20210104,0.76,0.7105263157894737,0.5833333333333334,0.0,0.6,0.6060606060606061,0.4090909090909091,0.2,1
Hubert Hurkacz,Christian Harrison,Hard,20210104,0.6285714285714286,0.6818181818181818,0.5769230769230769,0.6666666666666666,0.6571428571428571,0.6304347826086957,0.5416666666666666,0.6,1
Sebastian Korda,Cameron Norrie,Hard,20210104,0.6,0.8055555555555556,0.4583333333333333,0.0,0.625,0.7142857142857143,0.3333333333333333,0.3333333333333333,1
Christian Harrison,Gianluca Mager,Hard,20210104,0.6811594202898551,0.8297872340425532,0.5454545454545454,0.75,0.5421686746987951,0.7555555555555555,0.47368421052631576,0.8181818181818182,1
Hubert Hurkacz,Roberto Quiroz,Hard,20210104,0.7222222222222222,0.7435897435897436,0.5333333333333333,0.6666666666666666,0.6323529411764706,0.6511627906976745,0.4,0.7,1
Sebastian Korda,John Isner,Hard,20210104,0.6049382716049383,0.8163265306122449,0.59375,0.8333333333333334,0.7228915662650602,0.65,0.5217391304347826,0.5714285714285714,1
Christian Harrison,Cristian Garin,Hard,20210104,0.6666666666666666,0.6904761904761905,0.6190476190476191,0.6666666666666666,0.6197183098591549,0.5909090909090909,0.4074074074074074,0.6363636363636364,1
Gianluca Mager,Sam Querrey,Hard,20210104,0.627906976744186,0.7777777777777778,0.4375,0.875,0.5230769230769231,0.7647058823529411,0.3225806451612903,0.25,1
Hubert Hurkacz,Daniel Elahi Galan,Hard,20210104,0.6046511627906976,0.8076923076923077,0.7647058823529411,1.0,0.6078431372549019,0.6129032258064516,0.3,0.42857142857142855,1
Roberto Quiroz,Ivo Karlovic,Hard,20210104,0.7560975609756098,0.9032258064516129,0.8,0.5,0.6739130434782609,0.7741935483870968,0.3333333333333333,0.4,1
Frances Tiafoe,Bjorn Fratangelo,Hard,20210104,0.5647058823529412,0.8333333333333334,0.43243243243243246,0.7142857142857143,0.5802469135802469,0.7021276595744681,0.4411764705882353,0.3333333333333333,1
