match_id,date,p1_name,p2_name,y,diff_avg_rest_days,diff_matches_28d,diff_rolling_10_winrate,diff_rolling_5_winrate,diff_streak,diff_win_rate,diff_peak_elo,diff_current_elo,diff_wr_Clay,diff_wr_Grass,diff_wr_Hard,elo_diff,selo_diff,rank_diff,diff_h2h_wr_prior,surface,tourney_level,best_of,round
0,2021-01-04,Thiago Monteiro,Thomaz Bellucci,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
26,2021-01-04,Hubert Hurkacz,Sebastian Korda,1,2.5,-1,0.0,0.0,-1,0.0,-10.785684161721292,-10.41327945122407,0.0,0.0,0.0,-10.41327945122407,-8.097519234030187,-84.0,0.0,Hard,A,3,F
25,2021-01-04,Christian Harrison,Hubert Hurkacz,0,-5.0,1,0.5,0.5,1,0.0,11.171398827245866,10.785700629825897,0.0,0.0,0.0,10.785700629825897,8.312817914838206,754.0,0.0,Hard,A,3,SF
24,2021-01-04,Cameron Norrie,Sebastian Korda,0,0.0,0,0.0,0.0,0,0.0,-0.4143005863770668,1.6468104604427936e-05,0.0,0.0,0.0,1.6468104604427936e-05,3.944874606531812e-06,-45.0,0.0,Hard,A,3,SF
23,2021-01-04,Christian Harrison,Gianluca Mager,1,0.0,0,0.0,0.0,0,0.0,0.0,-0.4143005863770668,0.0,0.0,0.0,-0.4143005863770668,-0.23308460807152187,688.0,0.0,Hard,A,3,QF
22,2021-01-04,Hubert Hurkacz,Roberto Quiroz,1,15.0,-1,0.0,0.0,-1,0.0,-12.0,-11.585699413622933,0.0,0.0,0.0,-11.585699413622933,-8.766915391928478,-258.0,0.0,Hard,A,3,QF
21,2021-01-04,Cameron Norrie,Frances Tiafoe,1,0.0,0,0.0,0.0,0,0.0,0.0,-0.4143005863770668,0.0,0.0,0.0,-0.4143005863770668,-0.23308460807152187,12.0,0.0,Hard,A,3,QF
19,2021-01-04,Christian Harrison,Cristian Garin,1,10.0,1,0.0,0.0,1,0.5,0.0,12.0,0.0,0.0,0.5,12.0,9.0,-1211.0,0.0,Hard,A,3,R16
18,2021-01-04,Gianluca Mager,Sam Querrey,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,Hard,A,3,R16
17,2021-01-04,Daniel Elahi Galan,Hubert Hurkacz,0,10.0,1,0.0,0.0,1,0.5,0.0,12.0,0.0,0.0,0.0,12.0,9.0,-1885.0,0.0,Hard,A,3,R16
16,2021-01-04,Ivo Karlovic,Roberto Quiroz,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-145.0,0.0,Hard,A,3,R16
15,2021-01-04,Bjorn Fratangelo,Frances Tiafoe,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,Hard,A,3,R16
14,2021-01-04,Adrian Mannarino,Cameron Norrie,0,-10.0,-1,0.0,0.0,-1,-0.5,0.0,-12.0,0.0,0.0,-0.5,-12.0,-9.0,1926.0,0.0,Hard,A,3,R16
20,2021-01-04,John Isner,Sebastian Korda,0,15.0,-1,0.0,0.0,-1,0.0,-12.0,-11.585699413622933,0.0,0.0,0.0,-11.585699413622933,-8.766915391928478,-94.0,0.0,Hard,A,3,QF
12,2021-01-04,John Isner,Thiago Monteiro,1,-10.0,-1,0.0,0.0,-1,-0.5,0.0,-12.0,0.0,0.0,0.0,-12.0,-9.0,1916.0,0.0,Hard,A,3,R16
13,2021-01-04,Sebastian Korda,Tommy Paul,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,Hard,A,3,R16
1,2021-01-04,Sebastian Korda,Soon Woo Kwon,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
2,2021-01-04,Ji Sung Nam,Tommy Paul,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
3,2021-01-04,Cameron Norrie,Jc Aragone,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
5,2021-01-04,Donald Young,Frances Tiafoe,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
6,2021-01-04,Ivo Karlovic,Pablo Andujar,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
4,2021-01-04,Bjorn Fratangelo,Kevin King,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
7,2021-01-04,Noah Rubin,Roberto Quiroz,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,Hard,A,3,R32
