name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d
Jannik Sinner,2026-04-12,2118.709223753819,2118.709223753819,1712.1026409875165,1613.6431331156105,2011.6537932050137,0.8774421252884201,0.7874199626902033,0.9486963005698119,0.9412764325193486,0.9668281414992879,0.9889718758573636,15.0,3.975597102165406,9.190049826935622
Carlos Alcaraz,2026-04-12,1992.2981037276847,2020.3396295717716,1798.2644400224224,1669.3237882066308,1879.1499757159722,0.7644650887071308,0.9381792162575956,0.7548794413457771,0.8053744088122722,0.7637650810659494,0.7053512663707542,-1.0,4.7886167103867585,8.08341787132015
Novak Djokovic,2026-03-10,1956.6186668321814,2054.189089544887,1768.6626246140745,1674.3652144355349,1870.6167289514276,0.8875368105610033,0.7966326342700689,0.665513858067365,0.757534079034955,0.6999234309057205,0.6342194903349629,-1.0,10.682706174430917,3.842817332470194
Alexander Zverev,2026-04-11,1894.412580495212,1900.0617698856875,1750.6234334660744,1575.0718279377631,1807.6999354421491,0.7074835841642417,0.6693081463643837,0.6936612025892894,0.7087766647175707,0.6981337468217151,0.6698164707559567,-1.0,5.502909435934036,7.455483363082431
Taylor Fritz,2026-03-22,1807.238290260067,1870.3417552798512,1616.4582102523448,1592.7499362464057,1743.0108123349698,0.6212961955959494,0.7426771010089757,0.6978536392515012,0.6697703140643172,0.6850064920318305,0.7199777231863729,2.0,8.97904255013399,4.631532086758012
Alex De Minaur,2026-04-10,1806.1330039889795,1850.670846673251,1591.103829735339,1613.6234243647634,1750.0551789400631,0.6252442438410496,0.70693287608567,0.587671193832629,0.6306535987026286,0.6104197530622182,0.5701352379960701,-1.0,7.641788706415989,4.832284632434385
Daniil Medvedev,2026-04-06,1804.344181030476,1924.10989234316,1609.1552262587875,1621.361378812999,1776.0275020005797,0.5476269607373917,0.7084777708818872,0.7116061414851429,0.6480405979855934,0.6298177933195783,0.5517586474602552,-2.0,5.739740789530645,6.2151755905468615
Jack Draper,2026-03-20,1761.600761651372,1781.2587614506745,1498.901252034333,1568.915734084895,1680.0224599204532,0.3706213422931604,0.6507311535177335,0.5865506717527558,0.6430613578286775,0.6102952211663755,0.5473868831251361,-1.0,6.907528725095711,4.979720490148429
Felix Auger Aliassime,2026-04-10,1748.9325115561533,1806.5747957692374,1619.2991585823947,1517.3533705363734,1665.57543385137,0.5867089367599845,0.2841064989810188,0.5890842076837011,0.6296479417784064,0.6123349997139066,0.5722536970468163,-1.0,5.598743425768831,6.2368714947107415
Tommy Paul,2026-03-22,1744.501045248644,1790.4622658561766,1534.421602787129,1602.157177754707,1674.315521028437,0.6313175364248593,0.7572252373281203,0.6720023312470487,0.6704709541446117,0.6684852181947273,0.6905593037174329,2.0,9.684386105389478,3.8239892671515006
Holger Rune,2025-10-08,1740.012413977419,1827.5225289727653,1640.3041413942478,1535.603298558039,1680.210097040026,0.6176939922240222,0.6043991470933344,0.6164485501312762,0.6531251505236392,0.6314261955740046,0.5911004304613668,-1.0,8.499128148630302,4.947813446254173
Nick Kyrgios,2023-06-12,1739.421483935275,1779.8734522983857,1518.106986691486,1571.2380572989055,1639.26821009215,0.588996875,0.6121600479816475,0.6726192777355879,0.6907245190193,0.6166016979084904,0.5114025281621902,-2.0,10.336462379805104,1.745753120816495
