name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d
Jannik Sinner,2025-09-30,2089.6125212236843,2106.719142152328,1678.4426330704077,1656.1388342116961,1982.89353128251,0.6901408450704225,0.717391304347826,0.8067226890756303,0.7874251497005988,0.9,0.8,4,4.845679012345679,7
Carlos Alcaraz,2025-09-30,2028.1717603878653,2028.1717603878653,1804.8297930417568,1691.3898982470425,1887.899124305099,0.794392523364486,0.7857142857142857,0.7590361445783133,0.7932203389830509,1.0,1.0,18,5.298245614035087,8
Novak Djokovic,2025-09-05,2000.810851507732,2062.5820382544034,1758.3158157605112,1708.3031901515265,1897.955763098076,0.7764705882352941,0.8372093023255814,0.8467153284671532,0.8489795918367347,0.8,0.8,-1,6.127659574468085,6
Alexander Zverev,2025-09-28,1871.5600991830727,1895.1441933078706,1762.2719417762057,1575.0712590475755,1803.2149649798384,0.7452830188679245,0.625,0.7193877551020408,0.732484076433121,0.7,0.6,-1,4.582236842105263,3
Taylor Fritz,2025-09-30,1869.9832162279456,1873.8834278488664,1625.7852600714043,1627.1729790928039,1779.7676312661947,0.6060606060606061,0.673469387755102,0.6837209302325581,0.6774193548387096,0.8,0.8,-1,5.223333333333334,6
Grigor Dimitrov,2025-07-07,1800.7024545109357,1865.3298125519534,1608.0437320468,1562.9808410085868,1743.0128843105008,0.5901639344262295,0.59375,0.6352201257861635,0.6293103448275862,0.6,0.6,-1,6.54054054054054,4
Ben Shelton,2025-08-30,1792.4346450208734,1792.4346450208734,1513.6898748395492,1534.3488888751897,1711.8880339926122,0.4838709677419355,0.5357142857142857,0.625,0.5960264900662252,0.8,0.6,-1,6.553191489361702,11
Alex De Minaur,2025-09-30,1784.894145920776,1843.1238850504635,1590.931138061199,1631.587297143302,1721.057773380651,0.559322033898305,0.6727272727272727,0.6275510204081632,0.6310344827586207,0.7,0.6,-1,5.710714285714285,5
Daniil Medvedev,2025-09-30,1774.0122557371005,1934.8906562156872,1626.0315118014798,1628.4687329611786,1767.9604285757853,0.6538461538461539,0.6875,0.7543859649122807,0.7435064935064936,0.4,0.6,-1,5.221476510067114,4
Jack Draper,2025-08-29,1761.0313349159824,1780.0346311961694,1505.0297827293746,1574.8703467411535,1685.9384708372395,0.4666666666666667,0.6176470588235294,0.61,0.5972222222222222,0.7,0.4,-1,9.037313432835822,2
Karen Khachanov,2025-09-23,1758.3173309998058,1784.1611562732594,1620.608675384649,1548.2974886326078,1698.3998568608467,0.5846153846153846,0.5757575757575758,0.6243093922651933,0.6177606177606177,0.6,0.4,-2,6.032128514056225,2
Nick Kyrgios,2023-06-12,1757.816209105559,1779.8045155736088,1526.839653505713,1582.3317413790128,1647.8363644247095,0.5714285714285714,0.6451612903225806,0.6415094339622641,0.6666666666666666,0.6,0.4,-2,8.25,1
Hubert Hurkacz,2024-10-28,1754.5517012113382,1807.3451848206353,1616.4728858314318,1593.9326072124184,1683.6600344733392,0.6071428571428571,0.6341463414634146,0.6483516483516484,0.6486486486486487,0.5,0.4,-2,5.7028112449799195,1
Holger Rune,2025-09-27,1738.6613624891384,1827.3043679161767,1651.298108553623,1535.821891046518,1691.4595203431336,0.6144578313253012,0.5357142857142857,0.6209150326797386,0.6188524590163934,0.6,0.6,-1,6.358974358974359,3
Sebastian Korda,2025-09-27,1738.6012688422213,1789.889625502396,1530.6447753863797,1568.1697964849595,1673.37292130872,0.5208333333333334,0.6,0.6266666666666667,0.6103286384976526,0.5,0.4,-1,6.896551724137931,3
Rafael Nadal,2024-11-19,1738.2909157445397,1884.8063380209546,1676.5902647722835,1546.131041308605,1631.4963026920834,0.7333333333333333,0.625,0.6785714285714286,0.7321428571428571,0.5,0.4,-2,9.009803921568627,1
Felix Auger Aliassime,2025-09-05,1735.6934569416362,1806.440211445617,1615.7297142282985,1525.7683256808434,1666.0261155081853,0.5652173913043478,0.5555555555555556,0.6344086021505376,0.6162361623616236,0.8,0.8,-1,5.762452107279693,10
Tommy Paul,2025-08-30,1730.1093842536823,1790.2188851530088,1537.7264262153387,1608.1536531482598,1669.1639355592476,0.49056603773584906,0.6382978723404256,0.6174863387978142,0.6045627376425855,0.5,0.6,-1,6.019762845849803,5
Andrey Rublev,2025-09-23,1723.4231788757484,1832.8850491151068,1669.2163797554913,1582.9199184575448,1686.8033383850252,0.6823529411764706,0.6388888888888888,0.668141592920354,0.6788990825688074,0.6,0.6,-2,4.89589905362776,4
Matteo Berrettini,2025-09-25,1714.251277036356,1764.4156337675508,1678.8640857272226,1640.740461563821,1604.163822132345,0.7547169811320755,0.7391304347826086,0.594059405940594,0.6888888888888889,0.5,0.6,-1,8.064705882352941,2
Jiri Lehecka,2025-09-02,1703.601323508706,1720.4725481477908,1537.8840821057674,1515.7786841684942,1644.5560654260844,0.5121951219512195,0.5,0.5691056910569106,0.5542168674698795,0.7,0.8,-1,7.519230769230769,8
Lorenzo Musetti,2025-09-28,1702.4510616299547,1750.658568423277,1630.4563384324017,1582.6934914958783,1574.962929959964,0.6020408163265306,0.5897435897435898,0.4859154929577465,0.5444015444015444,0.6,0.6,-1,6.128514056224899,5
Stefanos Tsitsipas,2025-08-29,1695.205035704041,1832.319156146498,1764.008786847736,1530.0641157946957,1641.3896624923514,0.7706422018348624,0.5428571428571428,0.65625,0.6930379746835443,0.5,0.4,-1,4.944444444444445,4
Casper Ruud,2025-09-28,1688.2108944497832,1846.465959754474,1767.0200801786305,1499.007918647983,1615.2662467317457,0.7664233576642335,0.47619047619047616,0.6107784431137725,0.6786885245901639,0.6,0.6,-1,5.176271186440678,4
Alexei Popyrin,2025-08-29,1686.0265768267955,1689.5791058487168,1513.2520012359107,1457.0856821420443,1640.3982784654147,0.4897959183673469,0.35714285714285715,0.52,0.489010989010989,0.5,0.4,-1,8.604651162790697,6
Flavio Cobolli,2025-09-25,1683.2392552934443,1695.9520377970603,1533.444539210313,1532.529183681236,1596.5679776478762,0.5,0.5454545454545454,0.5396825396825397,0.5339805825242718,0.5,0.6,-1,9.78494623655914,4
Arthur Fils,2025-07-31,1682.871377054511,1704.9244284157473,1566.084885117774,1522.8684911269343,1607.8733929142559,0.5581395348837209,0.5238095238095238,0.5714285714285714,0.5702479338842975,0.5,0.4,-1,7.351351351351352,2
Jan Lennard Struff,2024-11-22,1680.3585880488245,1721.3720125174443,1625.102927211011,1536.3940088467107,1496.5563186648612,0.6212121212121212,0.5294117647058824,0.42857142857142855,0.5112359550561798,0.4,0.4,-1,8.31547619047619,6
Frances Tiafoe,2025-09-23,1669.9057920819428,1738.278783406789,1537.5654239337443,1552.4666344828638,1637.728870073916,0.5370370370370371,0.575,0.5978260869565217,0.5891472868217055,0.6,0.4,-2,6.306451612903226,3
Jordan Thompson,2025-09-23,1664.3106906312812,1680.2901662178863,1438.856098576509,1570.8668180160166,1604.6504512004994,0.3333333333333333,0.5849056603773585,0.5161290322580645,0.5052631578947369,0.6,0.4,-2,8.316666666666666,2
Gael Monfils,2025-08-24,1662.8668989933408,1688.423522294531,1469.360036771828,1521.8311775957534,1630.2297487520482,0.3870967741935484,0.5217391304347826,0.5855855855855856,0.5448275862068965,0.5,0.4,-2,9.4,1
Ugo Humbert,2025-09-23,1657.072444920271,1762.962059871555,1434.198073591846,1522.4397254302373,1658.836969933782,0.3333333333333333,0.5217391304347826,0.5652173913043478,0.5145631067961165,0.4,0.2,-3,7.535714285714286,1
Tomas Machac,2025-09-23,1652.9708396235098,1708.8276264690162,1553.05177770326,1493.8227248333656,1605.3259050105814,0.5666666666666667,0.4375,0.5365853658536586,0.5370370370370371,0.4,0.6,-2,11.86734693877551,4
Jenson Brooksby,2025-09-28,1642.2247491870564,1663.4573790569232,1490.2483048227878,1525.1555778976972,1618.6109391341665,0.4117647058823529,0.5416666666666666,0.6133333333333333,0.5833333333333334,0.6,0.6,-1,8.19767441860465,4
Cameron Norrie,2025-09-23,1634.2052829702552,1777.8954574430315,1621.4153950996947,1581.6427655559544,1585.1556809835206,0.6511627906976745,0.6190476190476191,0.5808383233532934,0.6145454545454545,0.5,0.4,-2,5.811320754716981,3
Francisco Cerundolo,2025-09-23,1633.6191763631236,1693.213982342683,1638.6207273875434,1494.333505049941,1557.8999417101097,0.5925925925925926,0.46153846153846156,0.4725274725274725,0.5317073170731708,0.5,0.4,-2,7.348717948717948,2
Brandon Nakashima,2025-09-27,1632.7910256385585,1677.9955988685522,1509.2583003512007,1536.3191677626578,1585.7231991454667,0.48484848484848486,0.5384615384615384,0.5531914893617021,0.5440414507772021,0.5,0.6,-1,7.448087431693989,3
Arthur Rinderknech,2025-09-25,1621.925044044848,1621.925044044848,1498.9869323937264,1488.5373564960767,1568.8429512269017,0.48,0.4375,0.5043478260869565,0.4858757062146893,0.6,0.6,-1,8.8562874251497,5
