player_key,player,elo_current,elo_peak,wr_overall_sm,wr_Clay_sm,wr_Grass_sm,wr_Hard_sm,form10,form5,streak,avg_rest_days,rank_latest,matches_played,wins,last_date,raw_win_rate
jannik sinner,Jannik Sinner,2088.4126571685006,2106.7776272317833,0.7839506172839507,0.6901408450704225,0.717391304347826,0.801762114537445,0.9,0.8,-1,4.8789808917197455,,314,249,2025-08-23,0.7929936305732485
novak djokovic,Novak Djokovic,1983.1574984698902,2054.170123966877,0.8458333333333333,0.7764705882352941,0.8181818181818182,0.8473282442748091,0.8,0.8,-1,6.017391304347826,,230,198,2025-07-11,0.8608695652173913
carlos alcaraz,Carlos Alcaraz,1944.0205399936394,1997.9289289887574,0.7824561403508772,0.794392523364486,0.7954545454545454,0.7337662337662337,0.8,0.8,-1,5.345454545454546,,275,218,2025-08-21,0.7927272727272727
alexander zverev,Alexander Zverev,1919.904998449707,1919.904998449707,0.7378640776699029,0.7452830188679245,0.625,0.7277486910994765,0.9,1.0,6,4.538461538461538,,299,223,2025-08-23,0.745819397993311
taylor fritz,Taylor Fritz,1842.4938359018374,1874.00992908248,0.6744186046511628,0.6060606060606061,0.673469387755102,0.6796116504854369,0.7,0.6,-1,5.233676975945017,,291,198,2025-08-17,0.6804123711340206
grigor dimitrov,Grigor Dimitrov,1796.6673350524961,1865.4434468800616,0.6293103448275862,0.5901639344262295,0.59375,0.6352201257861635,0.6,0.6,-1,6.54054054054054,,222,141,2025-07-07,0.6351351351351351
ben shelton,Ben Shelton,1782.3179856191696,1791.385516763822,0.5945945945945946,0.4838709677419355,0.5357142857142857,0.6238532110091743,0.9,0.8,-1,6.615942028985507,,138,83,2025-08-19,0.6014492753623188
karen khachanov,Karen Khachanov,1773.2206089569636,1784.1683269263922,0.62109375,0.5846153846153846,0.5757575757575758,0.6292134831460674,0.7,0.6,-1,5.955284552845528,,246,154,2025-08-17,0.6260162601626016
alex de minaur,Alex De Minaur,1764.482092173289,1842.6716800219504,0.6263345195729537,0.559322033898305,0.6727272727272727,0.6230366492146597,0.3,0.6,-2,5.723247232472325,,275,174,2025-08-13,0.6327272727272727
daniil medvedev,Daniil Medvedev,1760.49989161793,1924.0810275715,0.7418300653594772,0.6538461538461539,0.673469387755102,0.7555555555555555,0.3,0.2,-2,5.094594594594595,,296,222,2025-08-13,0.75
