name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d
Jannik Sinner,2026-03-29,2134.2031766010427,2145.571362375564,1678.4426330704075,1656.138834211696,2000.6189173965913,0.6901408450704225,0.717391304347826,0.961780147863786,0.887666519284465,0.9594220759113871,0.9862561046528002,12.0,3.428046555280053,9.806709531766227
Carlos Alcaraz,2026-03-22,2032.126153331292,2061.663522530714,1804.8297930417568,1691.3898982470423,1891.3900598290302,0.794392523364486,0.7857142857142857,0.7073498777985125,0.7885733586316285,0.787072,0.6720000000000002,-1.0,4.210178773989421,8.088224802506947
Novak Djokovic,2026-03-10,1986.94280005728,2062.5820382544034,1758.3158157605112,1708.3031901515265,1887.6338775491183,0.7764705882352941,0.8372093023255814,0.7558640510948904,0.8145648653061223,0.7437056000000001,0.6976000000000001,-1.0,7.510063829787234,4.432317559501661
Alexander Zverev,2026-03-27,1907.015869390983,1907.015869390983,1762.2719417762055,1575.0712590475755,1824.0222712093987,0.7452830188679245,0.625,0.7281988345600013,0.7518776389618229,0.7331218771811795,0.6915143270400002,-1.0,4.423310807674014,7.469357846480675
Alex De Minaur,2026-03-20,1834.368475734036,1863.252246891768,1590.931138061199,1631.587297143302,1752.9450300973997,0.559322033898305,0.6727272727272727,0.6774688722943905,0.7179665561798695,0.6984837531507684,0.6180097674444802,-2.0,5.309352339439904,5.452330460859733
Ben Shelton,2026-03-20,1814.6296124411492,1849.911769242864,1513.6898748395492,1534.3488888751897,1747.0945406001792,0.4838709677419355,0.5357142857142857,0.6771604399128452,0.7028763519771565,0.7364418765753842,0.6180097674444802,-2.0,5.519074525893794,6.209001622086604
Taylor Fritz,2026-03-24,1807.6267966306448,1873.8834278488664,1625.7852600714043,1627.172979092804,1780.543305753795,0.6060606060606061,0.673469387755102,0.6341659813162864,0.6863003283394405,0.6720806420828492,0.6035522891022338,-1.0,4.645274742068874,6.700762237540254
Felix Auger Aliassime,2026-03-22,1784.4588949138401,1806.440211445617,1615.7297142282985,1525.7683256808434,1695.4549841834478,0.5652173913043478,0.5555555555555556,0.6136020914046167,0.6589341541313134,0.6609292820828493,0.5779522891022338,-1.0,4.804380523096024,6.99200102845765
Daniil Medvedev,2026-03-22,1767.125581401069,1934.8906562156872,1626.0315118014798,1628.4687329611786,1737.5469876383715,0.6538461538461539,0.6875,0.6530014052364074,0.6742287290227383,0.5597163977444386,0.6210231762944002,-1.0,4.42090370326782,7.200197378476037
Jack Draper,2026-03-20,1762.967625794131,1781.6745721051768,1505.0297827293746,1574.8703467411535,1690.2681811645828,0.4666666666666667,0.6176470588235294,0.568579928125,0.5913837687555554,0.6287524249600001,0.4753920000000001,-1.0,10.572743208955227,3.823316264031795
Nick Kyrgios,2023-06-12,1757.816209105559,1779.8045155736088,1526.839653505713,1582.3317413790128,1647.8363644247097,0.5714285714285714,0.6451612903225806,0.6415094339622641,0.6666666666666666,0.6,0.4,-2.0,8.25,1.0
Arthur Fils,2026-03-27,1746.6403266220907,1746.6403266220907,1566.084885117774,1522.8684911269345,1663.2656848546042,0.5581395348837209,0.5238095238095238,0.6983445533177788,0.6555944064657174,0.683946856414196,0.6880061883573865,-1.0,4.955293927295857,8.319458832944017
Holger Rune,2025-10-08,1741.5909242649218,1827.3043679161767,1651.298108553623,1535.821891046518,1691.4595203431336,0.6144578313253012,0.5357142857142857,0.6209150326797386,0.6188524590163934,0.6,0.6,-1.0,6.358974358974359,3.0
Rafael Nadal,2024-11-19,1738.2909157445397,1884.8063380209544,1676.5902647722835,1546.131041308605,1631.4963026920834,0.7333333333333333,0.625,0.6785714285714286,0.7321428571428571,0.5,0.4,-2.0,9.009803921568627,1.0
Tommy Paul,2026-03-25,1728.0925619403602,1790.2188851530088,1537.7264262153387,1608.1536531482598,1662.044755412553,0.490566037735849,0.6382978723404256,0.5989459071990213,0.6022002530421612,0.5699014354045553,0.5891470950400001,-1.0,5.710072943262847,6.150047626667047
Grigor Dimitrov,2026-03-18,1720.8826461528436,1865.3298125519527,1608.0437320468,1562.9808410085868,1702.848106279587,0.5901639344262295,0.59375,0.3902255444182389,0.5148693934068964,0.40956715008,0.3246080000000001,-2.0,8.539543783783785,3.2998703198306725
Lorenzo Musetti,2026-03-06,1714.177715856185,1750.658568423277,1630.4563384324017,1582.6934914958783,1563.5289372162365,0.6020408163265306,0.5897435897435898,0.4130281690140845,0.5117374517374518,0.528,0.48,-2.0,9.31566265060241,2.28697571026284
Matteo Berrettini,2026-03-22,1712.4068604349407,1764.4156337675508,1674.5394757145486,1640.740461563821,1610.5505435880473,0.6653728782429246,0.7391304347826086,0.5777632518564356,0.6520415845326708,0.5691989575631996,0.564149829632,-1.0,7.252168819631708,5.766666286727975
Stefanos Tsitsipas,2026-03-22,1706.2184853448678,1832.319156146498,1764.008786847736,1530.0641157946957,1656.2945359630492,0.7706422018348624,0.5428571428571428,0.631345717297027,0.6644523955034176,0.5984776499720086,0.597753806848,-1.0,5.358575555345001,5.62361179774397
