player,last_date,current_elo,peak_elo,win_rate_sm,wr_Clay_sm,wr_Grass_sm,wr_Hard_sm,avg_rest_days,matches_28d,streak,n_matches
Jannik Sinner,2025-07-13,2101.628565080531,2101.628565080531,0.7830188679245284,0.6901408450704225,0.717391304347826,0.8009049773755657,4.840909090909091,7,21,308
Novak Djokovic,2025-07-11,1983.1574984698902,2054.170123966877,0.8458333333333333,0.7764705882352941,0.8181818181818182,0.8473282442748091,6.017391304347826,6,-1,230
Carlos Alcaraz,2025-07-13,1948.3091401273452,1997.9289289887574,0.7821428571428571,0.794392523364486,0.7954545454545454,0.7315436241610739,5.3,7,-1,270
Alexander Zverev,2025-07-01,1859.9274831038429,1895.49462529874,0.7315436241610739,0.7452830188679245,0.625,0.7166666666666667,4.527777777777778,1,-2,288
Taylor Fritz,2025-07-11,1854.223513277736,1863.404180835508,0.6723549488054608,0.6060606060606061,0.673469387755102,0.6767676767676768,5.250883392226148,6,-1,283
Grigor Dimitrov,2025-07-07,1796.6673350524961,1865.4434468800616,0.6293103448275862,0.5901639344262295,0.59375,0.6352201257861635,6.54054054054054,4,-1,222
Daniil Medvedev,2025-07-01,1795.1606292343556,1924.0810275715,0.7458745874587459,0.6538461538461539,0.673469387755102,0.7612612612612613,5.0,1,-3,293
Alex De Minaur,2025-07-07,1783.5779752780813,1842.6716800219504,0.6285714285714286,0.559322033898305,0.6727272727272727,0.6236559139784946,5.607407407407408,4,-1,270
Sebastian Korda,2024-08-26,1759.4793660924327,1789.8744648933002,0.6153846153846154,0.5208333333333334,0.6,0.6301369863013698,6.595959595959596,12,1,199
Jack Draper,2025-07-03,1756.8188046559226,1780.0918468126142,0.5985915492957746,0.4666666666666667,0.6176470588235294,0.6122448979591837,8.742424242424242,2,-1,132
Karen Khachanov,2025-07-09,1742.2479869519514,1761.1727444625635,0.6153846153846154,0.5846153846153846,0.5757575757575758,0.621301775147929,6.0168776371308015,5,-1,237
