name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d
Abedallah Shelbayh,2024-04-01,1432.1708584580679,1503.5347052081127,1482.3233516263736,1482.4604795335024,1468.8419168028045,0.42857142857142855,0.4166666666666667,0.3888888888888889,0.3333333333333333,0.2,0.2,-4,25.5,1
Adam Moundir,2023-09-16,1476.4990544137902,1488.8515388328972,1491.0013724246344,1500.0,1490.7566648318964,0.45454545454545453,0.5,0.45454545454545453,0.4166666666666667,0.5,0.5,-2,45.0,1
Adam Neff,2024-02-05,1490.034180761781,1490.034180761781,1500.0,1500.0,1491.258151085091,0.5,0.5,0.45454545454545453,0.45454545454545453,0.5,0.5,-1,30.0,1
Adam Walton,2025-07-29,1412.337257627237,1490.686586403638,1490.7394362660323,1489.7391144284893,1440.753650712253,0.45454545454545453,0.4666666666666667,0.3,0.3076923076923077,0.2,0.0,-7,22.4375,2
Adolfo Daniel Vallejo,2021-09-17,1488.0,1488.0,1491.0,1500.0,1500.0,0.45454545454545453,0.5,0.5,0.45454545454545453,0.5,0.5,-1,30.0,1
Adria Soriano Barrera,2024-09-14,1492.2299713453158,1501.8082639631048,1500.4725793253378,1500.0,1492.0763123827176,0.5,0.5,0.45454545454545453,0.46153846153846156,0.3333333333333333,0.3333333333333333,-1,30.0,1
Adrian Andreev,2021-09-27,1474.697456804401,1512.0309712696073,1500.0,1500.0,1481.6134256000391,0.5,0.5,0.4375,0.4375,0.3333333333333333,0.2,-3,24.833333333333332,1
Adrian Mannarino,2025-07-29,1518.9002858079668,1708.445517563741,1386.609337571692,1535.0111452936762,1527.4761698168145,0.23333333333333334,0.5490196078431373,0.515527950310559,0.4864864864864865,0.4,0.4,-2,7.132075471698113,4
Ainius Sabaliauskas,2022-09-17,1512.0,1512.0,1500.0,1500.0,1509.0,0.5,0.5,0.5454545454545454,0.5454545454545454,0.5,0.5,1,30.0,1
Aisam Ul Haq Qureshi,2024-02-03,1497.4513011552338,1512.3999911578462,1500.0,1500.4482196861204,1500.0,0.5,0.5,0.5,0.5,0.5,0.5,-1,52.5,1
Ajeet Rai,2024-09-14,1454.5418973403105,1487.4431591377104,1500.0,1500.0,1465.7905429620546,0.5,0.5,0.35714285714285715,0.35714285714285715,0.0,0.0,-4,37.5,1
Alan Fernando Rubio Fierros,2024-09-14,1499.626970246771,1499.626970246771,1490.7853280049342,1500.0,1499.742236502717,0.45454545454545453,0.5,0.5,0.5,0.5,0.5,1,45.0,1
Alastair Gray,2022-06-27,1499.6466131775564,1499.6466131775564,1500.0,1491.7311832999017,1500.0,0.5,0.46153846153846156,0.5,0.5,0.5,0.5,1,45.0,1
Albert Ramos,2024-08-26,1405.2164891819552,1610.1187456259386,1484.219122025881,1441.733522116829,1386.4475354918454,0.5277777777777778,0.29411764705882354,0.30357142857142855,0.42857142857142855,0.2,0.0,-6,8.463576158940397,1
Alec Beckley,2024-09-14,1475.757380853438,1488.0,1490.8708440392,1500.0,1500.0,0.45454545454545453,0.5,0.5,0.4166666666666667,0.5,0.5,-2,45.0,1
Alejandro Davidovich Fokina,2025-08-02,1598.9373605469393,1660.7676508082652,1545.6626434636607,1489.9275823083522,1565.782962860453,0.56,0.4642857142857143,0.4846153846153846,0.5070422535211268,0.5,0.6,-1,7.108374384236453,4
Alejandro Gonzalez,2022-03-04,1492.651641326084,1492.651641326084,1500.0,1500.0,1493.5881571134046,0.5,0.5,0.45454545454545453,0.45454545454545453,0.5,0.5,-1,30.0,1
Alejandro Moro Canas,2024-07-01,1494.890847253193,1513.4760209648975,1501.558445684139,1490.7727543945764,1500.0,0.5,0.45454545454545453,0.5,0.46153846153846156,0.3333333333333333,0.3333333333333333,-2,30.0,1
