name,N_fav,O_upsets,E_exp,V_var,z,z_sigmoid,eb_rate,volatility,neg_trend,fatigue,surface_mismatch,USI
Denis Shapovalov,15,9,5.313437432464157,3.416441209298851,1.9945027213012239,0.8802186896660908,0.41155163406280837,1.0,1.0,0.16666666666666666,0.0,76.3
Tomas Machac,8,5,2.8331235728784234,1.8241291222698857,1.6043767383243572,0.8326292060842696,0.3715823997213676,1.0,1.0,0.16666666666666666,0.0015130500567394067,74.2
Felix Auger Aliassime,54,19,15.770411999194597,10.973257094905653,0.974943269714564,0.7261036990498685,0.32978793502970666,0.973803233063452,1.0,0.6666666666666666,0.0,73.8
Roberto Carballes Baena,1,1,0.3728531885486316,0.23383368833775017,1.2969274386546579,0.785317421860938,0.3049670091522997,0.9055035872657768,0.7216602657876199,0.16666666666666666,0.054138950480413894,66.5
Ethan Quinn,1,1,0.39829036698105114,0.23965515055115075,1.229118005667219,0.7736641673525404,0.3049670091522997,0.8394063364652987,0.7496958616886894,0.16666666666666666,0.051136363636363646,65.0
Botic van de Zandschulp,17,11,6.322972180917021,3.9639591799532816,2.3491208867582674,0.9128643255881036,0.4433596538431971,1.0,0.0,0.0,0.0,61.1
Roman Safiullin,2,1,0.7502654263002859,0.4681158139348649,0.36500769029285635,0.590252111863841,0.2911048723726497,0.8793350417776781,1.0,0.16666666666666666,0.0,60.8
Alejandro Tabilo,4,4,1.5546475309317875,0.950151658649327,2.5086784609009922,0.9247479773338645,0.39184613300826215,0.8974319880495605,0.0,0.0,0.038244241634072085,59.9
Lorenzo Sonego,6,4,2.194145574684946,1.3910925430917345,1.531104124734974,0.822167803407182,0.3617041227768574,0.9195858644753554,0.0,0.3333333333333333,0.025991121996020217,59.0
Nicolas Jarry,13,8,4.666726083005054,2.982585532165102,1.9300766226258461,0.8732579006007357,0.4061911270363119,0.9137564154722072,0.0,0.0,0.05293843283582089,58.1
Rinky Hijikata,2,2,0.7599955695831261,0.4705833287423041,1.8076109692714577,0.859072890334609,0.3365594178271951,0.9646632071669962,0.0,0.0,0.0,58.0
Joao Fonseca,1,1,0.37066376729650397,0.23327213891006712,1.3030206557896706,0.7863429155258032,0.3049670091522997,0.957813901459433,0.0,0.3333333333333333,0.0,57.9
Aleksandar Vukic,1,1,0.3427319487640622,0.22526676006045043,1.3848220372648943,0.7997643241284118,0.3049670091522997,1.0,0.0,0.0,0.0068842427332993505,56.1
Roberto Bautista Agut,18,7,6.572587382175982,4.158781956154536,0.20958696246534747,0.5522057781047376,0.3264291366367972,1.0,0.4851756416029503,0.3333333333333333,0.002520022093344343,55.5
Ugo Humbert,29,8,9.07944807089465,6.162217042077445,-0.43484377685202874,0.3929702774994793,0.27355728963669984,0.9711807202407919,1.0,0.3333333333333333,0.0,55.4
Miomir Kecmanovic,8,5,3.057420907158675,1.887991275707899,1.4137698599628108,0.8043598686751213,0.3715823997213676,0.9412657896411901,0.0,0.0,0.00403726708074531,55.1
Jaume Munar,4,3,1.5583613593260668,0.9507191775145273,1.478530497533354,0.814350518430336,0.3501794663415955,0.8278373701018514,0.0,0.0,0.10474951203643462,54.3
Daniel Elahi Galan,1,1,0.3865691017580468,0.23713343132402367,1.2597061644820593,0.7789755214846225,0.3049670091522997,0.8047093278095311,0.0,0.16666666666666666,0.0,52.8
Vit Kopriva,1,1,0.3986816560109906,0.23973459317132476,1.2281151804551815,0.7734885165215956,0.3049670091522997,0.8920146066156478,0.0,0.0,0.0,52.6
Lorenzo Musetti,24,7,8.720744581665816,5.528209544477043,-0.7318535140879094,0.324788118368812,0.2819160725499612,1.0,1.0,0.16666666666666666,0.0676993518463459,52.0
Tommy Paul,70,19,21.739730024242878,14.820350832670114,-0.7116697837599909,0.32922998405703835,0.27115896880220325,0.9397517641300357,1.0,0.3333333333333333,0.0,51.9
Fabian Marozsan,4,2,1.5262922189210038,0.9436516838328655,0.48764599178214074,0.619551731588612,0.3085127996749289,0.9893230207286903,0.16235289795831367,0.16666666666666666,0.0,51.8
Frances Tiafoe,55,19,17.8833501925061,11.964861765567754,0.32282202147124583,0.5800118460290289,0.3253907625626439,0.9995721173498863,0.0,0.5,0.0,51.1
Jiri Lehecka,32,12,10.540483835393989,6.995837943366592,0.5518093296587175,0.6345552673526841,0.33469821523458254,0.865465212945546,0.0,0.5,0.0,50.9
Adrian Mannarino,32,12,11.33961368885279,7.264905928144312,0.24500957944538518,0.5609478096032922,0.33469821523458254,0.9900724450471468,0.0,0.5,0.0,50.0
Tallon Griekspoor,26,8,9.477236978887312,5.997849749546133,-0.6031875646206574,0.3536147682727631,0.2913979824390933,0.8272263629011539,1.0,0.16666666666666666,0.0012083333333333668,49.1
Arthur Rinderknech,2,1,0.7948820458115212,0.47896158539050115,0.2963830308985416,0.5735580814761239,0.2911048723726497,0.9890691384572109,0.0,0.3333333333333333,0.0,48.9
Corentin Moutet,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.8841635938042534,0.4668710559976637,0.16666666666666666,0.0,48.9
Yoshihito Nishioka,9,4,3.257559841257343,2.071273442642203,0.5158729267883209,0.6261822132625214,0.32428645490338937,0.9762093674342193,0.0,0.0,0.0,47.7
Borna Coric,22,9,7.593097586143966,4.940700060308311,0.6329504748008956,0.6531581720473865,0.3429596950523403,0.9106465418666779,0.0,0.0,0.0,47.6
Benjamin Bonzi,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,1.0,0.0,0.5,0.0,47.5
Luca Nardi,0,0,0.0,0.0,0.0,0.5,0.27021535960991466,0.9965190061144714,0.0,0.5,0.0,47.4
