player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,last_match_date,win_rate,peak_elo,current_elo,current_selo_Clay,current_selo_Grass,current_selo_Hard,wr_Clay,wr_Grass,wr_Hard,Other_x,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,Other_y,days_since_last
Jannik Sinner,353,268,85,5.385269121813031,7,1.0,1.0,13,2024-11-24,0.7592,2035.8845065816017,2031.906118206316,1567.4317562700298,1543.5538929739669,1863.9607251170337,0.6923,0.7,0.7878,,78.0,30.0,245.0,0.0,24
Novak Djokovic,932,813,119,5.039699570815451,6,0.9,1.0,-1,2024-10-02,0.8723,2160.5633749795816,1893.7651760945882,1590.3471404130337,1554.5553467751622,1704.2931033812715,0.8387,0.9091,0.8803,,248.0,99.0,585.0,0.0,77
Carlos Alcaraz,265,209,56,5.354716981132076,5,0.6,0.4,0,2024-11-19,0.7887,1977.9476918659611,1891.4822712633324,1629.721989571801,1563.9163968693483,1707.9535059341406,0.8182,0.8889,0.7482,,99.0,27.0,139.0,0.0,29
Alexander Zverev,663,464,199,5.250377073906486,11,0.9,1.0,-1,2024-11-11,0.6998,1921.8684216837978,1849.715062996414,1638.296701347363,1519.0864865417884,1707.0909978416485,0.733,0.661,0.6884,,206.0,59.0,398.0,0.0,37
Taylor Fritz,476,285,191,6.342436974789916,6,0.6,0.6,1,2024-11-21,0.5987,1823.319213841762,1807.039819882559,1559.0716032246737,1543.3327829043471,1673.9009270592371,0.5843,0.5893,0.6042,,89.0,56.0,331.0,0.0,27
Daniil Medvedev,537,381,156,5.48975791433892,3,0.6,0.4,-1,2024-11-11,0.7095,1940.165948647693,1793.2886327161618,1558.8289440739147,1514.3560218047694,1697.7369072871686,0.5571,0.6765,0.7419,,70.0,68.0,399.0,0.0,37
Grigor Dimitrov,740,457,283,6.524324324324325,11,0.7,0.6,0,2024-10-28,0.6176,1857.4940739709302,1768.348782774335,1542.7079847380996,1507.2140015360224,1669.6811208666343,0.6,0.6081,0.625,,170.0,74.0,496.0,0.0,51
Jack Draper,130,79,51,8.4,7,0.9,1.0,-1,2024-10-28,0.6077,1770.760871102854,1763.037338774419,1497.6562220898386,1536.3170338470024,1640.9192828204968,0.45,0.6818,0.625,,20.0,22.0,88.0,0.0,51
Alex De Minaur,410,254,156,6.390243902439025,8,0.4,0.0,-1,2024-11-23,0.6195,1828.6977106737456,1754.4238335860928,1516.541846841307,1551.09481130303,1648.8019841385815,0.4839,0.6471,0.6431,,62.0,51.0,297.0,0.0,25
Tommy Paul,300,176,124,7.093333333333334,8,0.7,0.8,-1,2024-10-28,0.5867,1787.7117311890747,1751.6850364626027,1533.6563863997596,1560.790814022216,1629.5066561545884,0.4808,0.6667,0.5991,,52.0,36.0,212.0,0.0,51
Hubert Hurkacz,350,211,139,7.177142857142857,0,0.6,0.4,-1,2024-10-28,0.6029,1801.3471038718187,1733.697292761386,1551.3082089396398,1533.7155686216267,1626.134378949066,0.5606,0.641,0.6082,,66.0,39.0,245.0,0.0,51
Holger Rune,228,143,85,6.666666666666667,11,0.8,0.8,-1,2024-10-28,0.6272,1835.8868628162022,1731.2886240032356,1561.0605112061423,1509.5304152120823,1629.4027512632347,0.6267,0.5882,0.6324,,75.0,17.0,136.0,0.0,51
Karen Khachanov,481,280,201,6.877338877338877,14,0.9,0.8,-1,2024-10-28,0.5821,1787.9858671420557,1730.8409121864163,1544.8307128741699,1495.2394693448118,1641.1499218193824,0.5847,0.6154,0.5772,,118.0,39.0,324.0,0.0,51
Stefanos Tsitsipas,512,347,165,5.2109375,11,0.7,0.8,-1,2024-10-28,0.6777,1880.0117830453423,1720.9154070670525,1610.4562782945604,1504.4454007042243,1606.365704581727,0.7647,0.5641,0.65,,153.0,39.0,320.0,0.0,51
Sebastian Korda,206,126,80,7.092233009708738,12,0.8,0.6,-1,2024-08-26,0.6117,1785.371466477427,1719.2492020422887,1507.2041798308521,1532.1751224306827,1615.63063464356,0.5476,0.64,0.6259,,42.0,25.0,139.0,0.0,114
