player,matches,wins,losses,avg_rest_days,rolling_10_winrate_latest,win_rate,peak_elo,current_elo,last_match_date,days_since_last,surf_matches_Clay,surf_matches_Grass,surf_matches_Hard,surf_matches_Other,wr_Clay,wr_Grass,wr_Hard,wr_Other,current_selo_Clay,current_selo_Grass,current_selo_Hard
Jannik Sinner,353,268,85,5.385269121813031,1.0,0.7592,2064.045668188339,2061.6122736883453,2024-11-24,24,78,30,245,0,0.6923,0.7,0.7878,,1587.856416703674,1573.6011440738048,1862.2489652134573
Novak Djokovic,932,813,119,5.039699570815451,0.9,0.8723,2199.4577875057707,1932.6737683992644,2024-10-02,77,248,99,585,0,0.8387,0.9091,0.8803,,1595.6117414073885,1554.396914284882,1748.7720758563726
Carlos Alcaraz,265,209,56,5.354716981132076,0.6,0.7887,2001.6960322931866,1919.2689404768291,2024-11-19,29,99,27,139,0,0.8182,0.8889,0.7482,,1668.7580427996468,1552.7910937540344,1711.9165094085547
Alexander Zverev,663,464,199,5.250377073906486,0.9,0.6998,1945.6871137427768,1869.163050544835,2024-11-11,37,206,59,398,0,0.733,0.661,0.6884,,1646.151437671052,1521.6612454610042,1724.594969471549
Taylor Fritz,476,285,191,6.342436974789916,0.6,0.5987,1840.1219809138358,1826.2905539978237,2024-11-21,27,89,56,331,0,0.5843,0.5893,0.6042,,1575.7290540665538,1543.252054082702,1677.9758945826657
Daniil Medvedev,537,381,156,5.48975791433892,0.6,0.7095,1962.3939111464292,1817.7068430483578,2024-11-11,37,70,68,399,0,0.5571,0.6765,0.7419,,1564.2188842719831,1551.3789495147184,1710.7666739008675
Grigor Dimitrov,740,457,283,6.524324324324325,0.7,0.6176,1876.4304199993624,1789.2775742347312,2024-10-28,51,170,74,496,0,0.6,0.6081,0.625,,1554.6175398928203,1528.9534563419975,1682.4042102048222
Jack Draper,130,79,51,8.4,0.9,0.6077,1785.245241764254,1779.7303056630437,2024-10-28,51,20,22,88,0,0.45,0.6818,0.625,,1489.9515368551897,1547.2084437855342,1637.6301027973036
Alex De Minaur,410,254,156,6.390243902439025,0.4,0.6195,1845.2876918331165,1775.1906126939202,2024-11-23,25,62,51,297,0,0.4839,0.6471,0.6431,,1541.448193141853,1558.4134350158326,1655.1322902931431
Tommy Paul,300,176,124,7.093333333333334,0.7,0.5867,1802.1016246187908,1768.8603924936292,2024-10-28,51,52,36,212,0,0.4808,0.6667,0.5991,,1520.3219989390786,1569.200333638522,1634.1512492228762
Hubert Hurkacz,350,211,139,7.177142857142857,0.6,0.6029,1816.860009451135,1753.426525621472,2024-10-28,51,66,39,245,0,0.5606,0.641,0.6082,,1565.4764660286144,1538.4371967442191,1634.7495763517636
Holger Rune,228,143,85,6.666666666666667,0.8,0.6272,1851.24416245397,1747.4949214325945,2024-10-28,51,75,17,136,0,0.6267,0.5882,0.6324,,1576.1020252575918,1503.9056180945204,1643.8164792358684
Karen Khachanov,481,280,201,6.877338877338877,0.9,0.5821,1806.5829329415485,1746.595094108396,2024-10-28,51,118,39,324,0,0.5847,0.6154,0.5772,,1557.8450284186831,1494.26608236949,1642.0227352595814
Sebastian Korda,206,126,80,7.092233009708738,0.8,0.6117,1800.2805198862334,1738.4791063299494,2024-08-26,114,42,25,139,0,0.5476,0.64,0.6259,,1508.7558149171239,1536.5850522541573,1632.8592079977107
Stefanos Tsitsipas,512,347,165,5.2109375,0.7,0.6777,1900.218905082673,1738.2804165428297,2024-10-28,51,153,39,320,0,0.7647,0.5641,0.65,,1624.606922171983,1511.6260754051934,1622.1059186103773
Lorenzo Musetti,245,134,111,6.224489795918367,0.5,0.5469,1761.6214080545008,1715.635792671691,2024-11-21,27,95,28,122,0,0.6211,0.6429,0.4672,,1565.6059434477854,1557.6684137909408,1528.354606454149
