k_overall,k_surface,tau,beta,n,cutoff_date,train_auc,test_auc,train_brier,test_brier,test_acc,thr
32,12,500,2.2,39613,2022-04-18 00:00:00,0.7707454688217898,0.7462849316360628,0.19470201662259606,0.2040652735806316,0.6719676890066894,0.5
32,14,500,2.2,39613,2022-04-18 00:00:00,0.7707512484023453,0.7462602029662933,0.19470088113278783,0.20407619916485245,0.6737346964533636,0.55
32,16,500,2.2,39613,2022-04-18 00:00:00,0.7707472692149057,0.7462539570651658,0.19470044070402384,0.20408559638135276,0.6734822668181244,0.55
32,18,500,2.2,39613,2022-04-18 00:00:00,0.7707391116814959,0.746241274061856,0.1947019333489159,0.20409494183063015,0.6733560520005049,0.55
32,20,500,2.2,39613,2022-04-18 00:00:00,0.7707304204032244,0.7462236835648034,0.1947042437611572,0.20410482815408384,0.6698220371071564,0.495
32,16,365,2.2,39613,2022-04-18 00:00:00,0.7710570802249714,0.7462093434856845,0.1945633773660976,0.20410248634057326,0.6727249779124069,0.505
32,14,365,2.2,39613,2022-04-18 00:00:00,0.771060111417806,0.7462060930677508,0.1945643191806181,0.2040994943069512,0.6724725482771677,0.505
32,18,365,2.2,39613,2022-04-18 00:00:00,0.7710536029170287,0.7462034799866669,0.19456301956576114,0.2041042746977848,0.6723463334595482,0.51
32,12,365,2.2,39613,2022-04-18 00:00:00,0.7710563274057263,0.7461978714223892,0.1945669230673264,0.20409930284560637,0.6725987630947873,0.505
32,20,365,2.2,39613,2022-04-18 00:00:00,0.7710518622714722,0.7461928364612763,0.194562880828891,0.20410696174194506,0.6727249779124069,0.51
32,24,500,2.2,39613,2022-04-18 00:00:00,0.770700799554981,0.7461738438231543,0.19471035540497125,0.20412479947618736,0.6718414741890698,0.54
32,24,365,2.2,39613,2022-04-18 00:00:00,0.7710336193500771,0.7461695099325761,0.19456565564812833,0.20411469746666466,0.6725987630947873,0.51
32,12,500,2.0,39613,2022-04-18 00:00:00,0.7707582747153019,0.7461302499826326,0.19469261464143572,0.2041198637557044,0.6723463334595482,0.51
32,14,500,2.0,39613,2022-04-18 00:00:00,0.7707622578859121,0.7461126594855798,0.1946909285219579,0.20412839580342126,0.6715890445538306,0.505
32,16,500,2.0,39613,2022-04-18 00:00:00,0.7707627119673617,0.74611227708347,0.19468990040635198,0.20413688423935902,0.6715890445538306,0.505
32,18,500,2.0,39613,2022-04-18 00:00:00,0.7707581472538423,0.7461078794592069,0.19468973450390809,0.20414257430085628,0.6718414741890698,0.505
32,20,500,2.0,39613,2022-04-18 00:00:00,0.7707503920206641,0.7460905438968941,0.1946910130243368,0.20415099194832514,0.6717152593714502,0.505
32,24,500,2.0,39613,2022-04-18 00:00:00,0.7707290203187547,0.746043189768959,0.19469573361295717,0.20416751595275368,0.6729774075476461,0.54
28,12,500,2.2,39613,2022-04-18 00:00:00,0.7704917687361106,0.7460199269739438,0.194787455733062,0.2041659539997591,0.6738609112709832,0.55
32,24,365,2.0,39613,2022-04-18 00:00:00,0.7709805675007192,0.7459868491914425,0.19458085810289416,0.2041835290791633,0.6727249779124069,0.53
28,14,500,2.2,39613,2022-04-18 00:00:00,0.7704796598974555,0.7459839174419338,0.19479177485954896,0.20418099285737135,0.6739871260886028,0.55
28,12,365,2.2,39613,2022-04-18 00:00:00,0.770816118318904,0.7459833438387691,0.19464586838623252,0.20418423281234171,0.6717152593714502,0.53
28,18,500,2.2,39613,2022-04-18 00:00:00,0.7704250227461945,0.7459829614366593,0.19480736118281472,0.2041985383018527,0.6723463334595482,0.54
32,20,365,2.0,39613,2022-04-18 00:00:00,0.7709958827917155,0.7459767792692168,0.19457873731698594,0.2041869147506039,0.6725987630947873,0.51
32,16,365,2.0,39613,2022-04-18 00:00:00,0.7709976234372722,0.7459653709396066,0.1945810141009719,0.20418531188801017,0.6725987630947873,0.505
32,18,365,2.0,39613,2022-04-18 00:00:00,0.7709976911511727,0.7459653709396066,0.19457938801601973,0.2041871044270975,0.6722201186419285,0.505
28,14,365,2.2,39613,2022-04-18 00:00:00,0.7708041727902437,0.7459638413311672,0.19464896152778183,0.2041923832035409,0.6712104001009719,0.5
28,16,500,2.2,39613,2022-04-18 00:00:00,0.7704612974809422,0.745962247989043,0.19479742558316637,0.20419389611556127,0.6731036223652657,0.545
32,14,365,2.0,39613,2022-04-18 00:00:00,0.7709916207991625,0.7459595711742741,0.1945837765319634,0.20418406884477983,0.6729774075476461,0.505
32,12,365,2.0,39613,2022-04-18 00:00:00,0.770984861358637,0.7459496924531033,0.1945884817565203,0.20418054762255475,0.6718414741890698,0.52
28,16,365,2.2,39613,2022-04-18 00:00:00,0.7707902715248139,0.7459458046983198,0.1946528684598298,0.20419789392927645,0.6718414741890698,0.54
28,18,365,2.2,39613,2022-04-18 00:00:00,0.7707650461053392,0.7459457409646348,0.19466153372443104,0.20418092702982035,0.6729774075476461,0.545
32,12,500,1.8,39613,2022-04-18 00:00:00,0.7707066767232165,0.7459095402315701,0.19470586536541482,0.20420360305888688,0.6718414741890698,0.52
28,20,500,2.2,39613,2022-04-18 00:00:00,0.7704073812835617,0.7458966660272054,0.194813802725203,0.20422636055866308,0.6728511927300265,0.545
28,12,500,2.0,39613,2022-04-18 00:00:00,0.7705289476505867,0.7458943716145464,0.19476881058020606,0.2042108372999882,0.6733560520005049,0.55
28,20,365,2.2,39613,2022-04-18 00:00:00,0.7707496511509306,0.7458937980113814,0.19466420535984447,0.20421103767952425,0.6718414741890698,0.54
28,24,365,2.2,39613,2022-04-18 00:00:00,0.770709616303127,0.7458715549553259,0.19467858772556823,0.20422724996635608,0.670579326012874,0.54
32,14,500,1.8,39613,2022-04-18 00:00:00,0.7707253179616724,0.7458693880100368,0.19469888763630344,0.20422782097907546,0.6718414741890698,0.505
