player_1,player_2,p1_rank,p2_rank,p1_age,p2_age,p1_ht,p2_ht,p1_seed,p2_seed,round_encoded,surface,sets_lost,game_win_pct,outcome,tourney_level,best_of,tourney_date
Frances Tiafoe,Soon Woo Kwon,53.0,71.0,23.4,23.6,188.0,180.0,0.0,0.0,2,Hard,0,0.7058823529411765,1,A,3,20210724
Soon Woo Kwon,Frances Tiafoe,71.0,53.0,23.6,23.4,180.0,188.0,0.0,0.0,2,Hard,3,0.2941176470588235,0,A,3,20210724
Jan Lennard Struff,Thiago Monteiro,48.0,95.0,31.2,27.1,193.0,183.0,0.0,0.0,2,Hard,0,0.631578947368421,1,A,3,20210724
Thiago Monteiro,Jan Lennard Struff,95.0,48.0,27.1,31.2,183.0,193.0,0.0,0.0,2,Hard,3,0.368421052631579,0,A,3,20210724
Sumit Nagal,Denis Istomin,160.0,197.0,23.9,34.8,178.0,185.0,0.0,0.0,2,Hard,1,0.8627450980392157,1,A,3,20210724
Denis Istomin,Sumit Nagal,197.0,160.0,34.8,23.9,185.0,178.0,0.0,0.0,2,Hard,2,0.13725490196078427,0,A,3,20210724
John Millman,Lorenzo Musetti,44.0,61.0,32.0,19.3,183.0,185.0,0.0,0.0,2,Hard,0,0.631578947368421,1,A,3,20210724
Lorenzo Musetti,John Millman,61.0,44.0,19.3,32.0,185.0,183.0,0.0,0.0,2,Hard,3,0.368421052631579,0,A,3,20210724
Tomas Machac,Joao Sousa,145.0,137.0,20.7,32.3,183.0,185.0,0.0,0.0,2,Hard,1,0.8613861386138614,1,A,3,20210724
Joao Sousa,Tomas Machac,137.0,145.0,32.3,20.7,185.0,183.0,0.0,0.0,2,Hard,2,0.13861386138613863,0,A,3,20210724
Mikhail Kukushkin,Federico Coria,123.0,62.0,33.5,29.3,183.0,180.0,0.0,0.0,2,Hard,1,0.8554216867469879,1,A,3,20210724
Federico Coria,Mikhail Kukushkin,62.0,123.0,29.3,33.5,180.0,183.0,0.0,0.0,2,Hard,2,0.14457831325301207,0,A,3,20210724
Dominik Koepfer,Facundo Bagnis,57.0,80.0,27.2,31.3,180.0,183.0,0.0,0.0,2,Hard,1,0.6333333333333333,1,A,3,20210724
Facundo Bagnis,Dominik Koepfer,80.0,57.0,31.3,27.2,183.0,180.0,0.0,0.0,2,Hard,2,0.3666666666666667,0,A,3,20210724
Miomir Kecmanovic,Kamil Majchrzak,50.0,115.0,21.8,25.5,183.0,180.0,0.0,0.0,2,Hard,0,0.6666666666666666,1,A,3,20210724
Kamil Majchrzak,Miomir Kecmanovic,115.0,50.0,25.5,21.8,180.0,183.0,0.0,0.0,2,Hard,3,0.33333333333333337,0,A,3,20210724
Marcos Giron,Norbert Gombos,64.0,98.0,27.9,30.9,180.0,193.0,0.0,0.0,2,Hard,2,0.8636363636363636,1,A,3,20210724
